# ALEPH Thrust Distribution -- (1/N)dN/dtau -- corrected for detector effects
# Analysis: thrust_alphas, Phase 4a
# tau_center, tau_lo, tau_hi, dNdtau, stat_unc, syst_unc, total_unc
0.0500,0.0400,0.0600,7.442043e+00,7.510647e-03,1.152107e+00,1.152132e+00
0.0700,0.0600,0.0800,4.540230e+00,6.364133e-03,6.919448e-01,6.919740e-01
0.0900,0.0800,0.1000,3.028242e+00,4.846708e-03,4.927094e-01,4.927333e-01
0.1100,0.1000,0.1200,2.150384e+00,4.075252e-03,3.503054e-01,3.503292e-01
0.1300,0.1200,0.1400,1.593327e+00,3.484677e-03,2.389046e-01,2.389300e-01
0.1500,0.1400,0.1600,1.183512e+00,2.897747e-03,2.250046e-01,2.250233e-01
0.1700,0.1600,0.1800,9.163910e-01,2.476744e-03,1.680680e-01,1.680862e-01
0.1900,0.1800,0.2000,7.318492e-01,2.241996e-03,9.739047e-02,9.741627e-02
0.2100,0.2000,0.2200,5.781245e-01,1.906385e-03,9.327583e-02,9.329531e-02
0.2300,0.2200,0.2400,4.464151e-01,1.610658e-03,9.220205e-02,9.221612e-02
0.2500,0.2400,0.2600,3.510188e-01,1.374551e-03,7.387873e-02,7.389152e-02
0.2700,0.2600,0.2800,2.774584e-01,1.196332e-03,3.931124e-02,3.932944e-02
0.2900,0.2800,0.3000,2.074454e-01,1.048909e-03,3.968032e-02,3.969418e-02
